id,text,mortality_salience,i,we,you,they,posemo,negemo,anx,anger,sad,social,family,friend,cogproc,focuspast,focuspresent,focusfuture,relig,death
530,"Shelby, God bless your heart.ëÇÕÑ_ëÇÕÑ_ To my family, I  love them and everybody that showed support.ëÇÕÑ_ëÇÕÑ_ Thank you to all of my  cousins and aunts and uncles that showed support and that prayed for me.ëÇÕÑ_ëÇÕÑ_  From California to New York thank you for all of your support.ëÇÕÑ_ëÇÕÑ_ Pope  Francis, GodëÇÕÑ_Õ_ë_s children has asked the State of Texas to switch my death  sentence to life in prison.ëÇÕÑ_ëÇÕÑ_ But the State of Texas has refused to listen  to GodëÇÕÑ_Õ_ë_s children, they will have to take that up with God.ëÇÕÑ_ëÇÕÑ_ Let everyone  know itëÇÕÑ_Õ_ë_s not over.ëÇÕÑ_ëÇÕÑ_ To Wesley Ruiz aka Slope, keep your head up, keep  your faith in God.ëÇÕÑ_ëÇÕÑ_ To my family I love yëÇÕÑ_Õ_ë_all.ëÇÕÑ_ëÇÕÑ_ ThatëÇÕÑ_Õ_ë_s it Warden.",1,5.79,0.0,4.96,1.65,7.44,0.0,0.0,0.0,0.0,18.18,4.13,0.0,6.61,2.48,10.74,1.65,7.44,0.83
529,"(Spanish) To the Solano family, I want to tell them to  forgive me. While I am still alive I bring suffer to you all.ëÇÕÑ_ëÇÕÑ_ The harm  that I did to your dad and husband, I hope this brings you closure to all of  you.ëÇÕÑ_ëÇÕÑ_ I never wanted to hurt any of you all.ëÇÕÑ_ëÇÕÑ_ I received your card  and I want to thank you all.",1,14.06,0.0,10.94,1.56,4.69,4.69,0.0,0.0,3.12,21.88,4.69,0.0,18.75,3.12,14.06,1.56,0.0,1.56
528,"ëÇÕÑ_ëÇÕÑ_ëÇÕÑ_I would like to thank you.ëÇÕÑ_ëÇÕÑ_ I hope this execution  helps my family and also the victimëÇÕÑ_Õ_ë_s family.ëÇÕÑ_ëÇÕÑ_ This was never meant to be,  sure beyond my power. I can only walk the path before me and make the best of  it.ëÇÕÑ_ëÇÕÑ_ I am sorry for putting yëÇÕÑ_Õ_ë_all through this.ëÇÕÑ_ëÇÕÑ_ I am sorry, I love  you.ëÇÕÑ_ëÇÕÑ_ I am ready.ëÇÕÑ_ëÇÕÑ_ May we all go to Heaven.ëÇÕÑ_ëÇÕÑ_ Thank you Warden Jones.ëÇÕÑ_Õ_ë",1,14.08,1.41,4.23,0.0,14.08,4.23,0.0,0.0,2.82,11.27,2.82,0.0,12.68,2.82,16.9,2.82,1.41,1.41
527,"ëÇÕÑ_ëÇÕÑ_ëÇÕÑ_Yes, I would like to thank my family and friends for what  yëÇÕÑ_Õ_ë_all have done for me.ëÇÕÑ_ëÇÕÑ_ Thank you for being here with me that I do not  have to transition alone.ëÇÕÑ_ëÇÕÑ_ I have peace.ëÇÕÑ_ëÇÕÑ_ To my daughter, I love you,  to my grandbabies, sisters and brothers, I love you.ëÇÕÑ_ëÇÕÑ_ I am ready to go  home.ëÇÕÑ_Õ_ë",1,19.3,0.0,5.26,0.0,12.28,1.75,0.0,0.0,1.75,17.54,7.02,1.75,5.26,1.75,14.04,0.0,0.0,0.0
526,"""Much has been written about this case, not all of it has been the truth. But the time is over and now it is time to move on. I want to thank my attorneys for all that they have done. The have afforded me the last quarter of a century. I would like to thank my wife, my daughters, family and friends for unwavering support, and all of the letters and well wishes over the years. Now it is time to pass on. I have fought the good fight, I held the faith. I am not going to say goodbye, I will simply say until we meet again. I love you very, very much. Thank you Warden.""",1,9.4,0.85,1.71,0.85,8.55,1.71,0.0,1.71,0.0,12.82,2.56,0.85,8.55,5.13,17.95,2.56,0.85,0.0
525, I'm ready to go home. ,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
524,"""Thank you for being here. I am sorry for all of the pain that I have caused my family, friends, and extended family. Especially to the Police Officers, I know you probably hate me. What happened between me and Rocky happended too fast. I didn't know what happened. I wish y'all peace and love. I hope you have found God just like I have. God bless y'all. I will see you on the other side. I love you.""",1,15.38,0.0,8.97,0.0,7.69,3.85,0.0,1.28,1.28,15.38,2.56,1.28,14.1,5.13,12.82,3.85,3.85,0.0
523,ëÇÕÑ_ëÇÕÑ_ëÇÕÑ_I would like to apologize to the Moreno family and the Steinfeldt family for all of the trouble I have caused them.  I would like to apologize to my family for all of the trouble that I have caused them.  I would also like to thank my family for all of their support.  I guess thatëÇÕÑ_Õ_ë_s it.ëÇÕÑ_Õ_ë ,1,13.79,0.0,0.0,5.17,6.9,3.45,0.0,0.0,0.0,15.52,6.9,0.0,15.52,0.0,8.62,0.0,0.0,0.0
522,"Yes sir, I want to say I love you to all my family and friends. Thank you Lord for your mercy and unconditional love. In Jesus name I pray, Amen.",1,13.33,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,33.33,3.33,3.33,6.67,0.0,10.0,3.33,16.67,0.0
521,"That each new indignity defeats only the body. Pampering the spirit with obscure merit. I love you all, that's it. ",1,5.0,0.0,5.0,0.0,10.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,5.0,0.0,5.0,0.0
520,"Joanna I really love and care about her, I appreciate  her.ëÇÕÑ_ëÇÕÑ_ There is a drawing that I forgot to tell you about, send it to  Stacy.ëÇÕÑ_ëÇÕÑ_ Art, I appreciate you.ëÇÕÑ_ëÇÕÑ_ Joanna, tell my family I love them  all.ëÇÕÑ_ëÇÕÑ_ Trix I love you too.ëÇÕÑ_ëÇÕÑ_ ",1,16.28,0.0,6.98,2.33,13.95,0.0,0.0,0.0,0.0,30.23,2.33,0.0,9.3,2.33,11.63,0.0,0.0,0.0
519,"There are no endings, only beginnings. Love yall, see you soon. ",1,0.0,0.0,18.18,0.0,9.09,0.0,0.0,0.0,0.0,27.27,0.0,0.0,0.0,0.0,18.18,9.09,0.0,0.0
518,"To the victimëÇÕÑ_Õ_ë_s family, I want you to know that I hope  you let go of all of the hate because of all my actions.ëÇÕÑ_ëÇÕÑ_ I came in as a  lion and I come as peaceful as a lamb.ëÇÕÑ_ëÇÕÑ_ IëÇÕÑ_Õ_ë_m at peace.ëÇÕÑ_ëÇÕÑ_ I hope society  sees who else they are hurting with this.ëÇÕÑ_ëÇÕÑ_ To my loved ones, I hope both  victims find in their hearts to forgive me, and I have forgave everyone and I  love everyone, pray for my soul and I forgive myself.ëÇÕÑ_ëÇÕÑ_ I love yëÇÕÑ_Õ_ë_all and  IëÇÕÑ_Õ_ë_ll be waiting for yëÇÕÑ_Õ_ë_all, my brother take care of my family.ëÇÕÑ_ëÇÕÑ_ Take care  of my girl, my mom, my sons and all of my loved ones.ëÇÕÑ_ëÇÕÑ_ Brother Wayne and  Brother Joe, thank yëÇÕÑ_Õ_ë_all.ëÇÕÑ_ëÇÕÑ_ Jorge donëÇÕÑ_Õ_ë_t give up on Luis, IëÇÕÑ_Õ_ë_ll be  listening.ëÇÕÑ_ëÇÕÑ_ Thank you for everything.ëÇÕÑ_ëÇÕÑ_ Father I commend my soul,  please take care and watch everybody I leave behind.ëÇÕÑ_ëÇÕÑ_ I am ready  Warden.ëÇÕÑ_ëÇÕÑ_ Father please accept my soul.ëÇÕÑ_ëÇÕÑ_ I am sorry, I love yëÇÕÑ_Õ_ë_all, I  am always going to be with you.ëÇÕÑ_ëÇÕÑ_ I love yëÇÕÑ_Õ_ë_all, I love yëÇÕÑ_Õ_ë_all. I love you  Father, I love you Father, I love you Savior.",1,18.32,0.0,3.47,0.99,13.37,2.48,0.0,0.5,0.99,20.79,5.45,0.0,12.87,0.5,14.36,2.48,1.98,0.0
517,"I just want to tell my family  I love them; my son, I love him. The girls on the row, I love them and keep  their heads up. Tell Darlie I love her, hand in hand. God bless y'all. I'm  alright. Tell them I finished strong. I love y'all. I'm done. I love you,  Richie. I love you. Thank you, Brad and John, all of y'all. God is good. I love  you, Auntie. I'm done.",1,20.0,0.0,9.33,5.33,17.33,0.0,0.0,0.0,0.0,37.33,4.0,0.0,2.67,4.0,13.33,0.0,4.0,0.0
516,"Nesha, I love you. I hope this brings you some closure. Titus, if his kids are out there, I'm sorry for your dad. Shan, Charlotte, Baisey, I love you. T.T., I love you. Stay strong.",1,13.89,0.0,13.89,0.0,13.89,2.78,0.0,0.0,2.78,30.56,2.78,0.0,11.11,0.0,13.89,2.78,0.0,0.0
514,"Yes, sir. First I would like to thank God for letting me see my family. I say this with love, I'm sorry. I say this for my family with love and with God, I love you. I'm happy, and I would like to say on behalf of my family, I love y'all. I am happy. I look into my family's eyes, and I see sadness. Don't be sad, I'm happy. I am sorry for what I have done. Be mindful that I am happy till the end. To the family of my boss, I love you. Young people, listen to your parents; always do what they tell you to do, go to school, learn from your mistakes. Be careful before you sign anything with your name. Never, despite what other people say. God is with y'all. God is the only witness that knows what happened that night. I, Ramiro Hernandez, say this with lots of love to young people, listen to your parents please. Live your life to the fullest, you only live your life once. To the prison system, I would like to thank y'all. Thanks to the officers and to the warden that are going to witness this. I say this with a lot of love and happiness. I have no pain and no guilt. All I have is love. Love will win. Thank you God, I am going with you. ",1,12.02,0.0,6.87,0.43,9.87,3.0,0.43,0.0,1.72,19.74,2.58,0.0,6.44,0.86,17.6,1.29,2.15,0.0
508,"I would like to tell the Canfield family I'm sorry; sorry for your loss. I wish I could take it back, but I can't. I hope this gives you closure. I did not murder your loved one, it was an accident. I didn't mean for it to happen. I take full responsibility.",1,17.31,0.0,5.77,0.0,5.77,7.69,0.0,1.92,5.77,13.46,1.92,0.0,19.23,5.77,17.31,3.85,0.0,1.92
507,"The best time in my life is during this period. If I had to do again, I would not change a thing. I have been touched by an angel's wings. If I had it to do again, I would change Dwyer's parents suffering, because I know they are. I know that is not going to eliminate the pain, because I have a child. God, I want to say something so bad. I appreciate the people that helped me out. I appreciate the people that helped me out, and uh, know that I love you, Angel and your family and all the people that helped me out. And if this takes the pain away, so be it. I love you. I'm ready to go. ",1,14.63,0.0,2.44,0.81,4.88,3.25,0.0,0.0,0.81,10.57,1.63,0.0,15.45,4.88,13.01,0.81,1.63,0.0
506,"I love you. To Gerald: you're a zero. I love you Mandy, Tiffany. I love you, too. ",1,17.65,0.0,23.53,0.0,17.65,0.0,0.0,0.0,0.0,41.18,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0
505,"I don't know if you remember back in 2000, you were happy the way it happened. You were looking for me yourself and would have taken care of me yourself. I am glad it happened this way. I wouldn't want to see you in my shoes. You would have probably been here, not me. I wouldn't wish this on you. I hope this can bring some relief to you and your family. I have no hate for you.",1,12.82,0.0,14.1,0.0,6.41,1.28,0.0,1.28,0.0,15.38,1.28,0.0,16.67,8.97,16.67,2.56,0.0,0.0
504,"I want to thank all of my family and friends for supporting me. I love you and I'm glad that ya'll are by my side through this whole thing. I know it's hard for ya'll. I love you Jennifer, mom, Jaime, Cory, David. Thank God for you being there for me. It's not easy, this is a release. Ya'll finally get to move on with your lives. Take care of my kids and stay strong, life has to go on. We've all lost grandpas, brothers, and sisters. Support and love each other. Don't fight with each other. I love you.",1,11.0,1.0,8.0,0.0,12.0,2.0,0.0,1.0,1.0,21.0,5.0,1.0,7.0,2.0,19.0,0.0,1.0,0.0
503,"I hereby declare, Robert Steven Everett and Nicholas Velasquez, guilty of crimes against me, Douglas Alan Feldman. Either by fact or by proxy, I find them both guilty. I hereby sentence both of them to death, which I carried out in August 1998. As of that time, the State of Texas has been holding me illegally in confinement and by force for 15 years. I hereby protest my pending execution and demand immediate relief.",1,10.81,0.0,0.0,2.7,1.35,4.05,2.7,1.35,0.0,2.7,0.0,0.0,8.11,2.7,2.7,0.0,0.0,2.7
502,"Yes, I want to thank my family for supporting me through this. I love ya'll. I don't fear death. I'm fine, I'm OK. To my friends and my loved ones, Miriam, I love you, thanks for being here for me. This is what it is. I know this is hard for ya'll, but we are going to have to go through it. We know the lies they told in court. We know it's not true. I want you to be strong and keep going. ",1,15.48,3.57,4.76,1.19,11.9,2.38,1.19,1.19,0.0,16.67,1.19,1.19,9.52,1.19,22.62,2.38,0.0,1.19
501,"Yes, I would like to tell my wife that I love her and thank her for all the years of happiness. That will be all, Warden.  ",1,11.54,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,19.23,3.85,0.0,11.54,0.0,11.54,3.85,0.0,0.0
500,"I just wanted to say thanks to all who have supported me over the years: Reverend Campbell, for my spiritual guidance; Aaron, the father of Darrian, my son; and Maurie, my attorney. Thank you everybody. This is not a loss, this is a win. You know where I am going. I am going home to be with Jesus. Keep the faith. I love ya'll. Thank you, Chaplain. ",1,11.94,0.0,5.97,0.0,10.45,1.49,0.0,0.0,1.49,14.93,2.99,0.0,7.46,2.99,17.91,2.99,5.97,0.0
499,"I just want to say I don't want you to have hate in your heart for me, because I took your loved one. I know it doesn't mean anything; I told the truth because I feel like you should know who killed your loved one. God watches everything. Don't hate me, if you do, you'll have to deal with Him later. For me, live your life but don't hate me. I'm sorry for taking your loved one.",1,14.29,0.0,11.69,0.0,5.19,6.49,0.0,5.19,1.3,22.08,0.0,0.0,18.18,2.6,25.97,1.3,1.3,1.3
498,"You clown police. You gonna stop with all that killing all these kids. You're gonna stop killing innocent kids, murdering young kids. When I kill one or pop one, ya'll want to kill me. God has a plan for everything. You hear? I love everyone that loves me. I ain't got no love for anyone that don't love me.",1,10.17,0.0,8.47,0.0,8.47,8.47,0.0,8.47,0.0,27.12,0.0,0.0,13.56,1.69,11.86,5.08,1.69,8.47
497,"First of all; Shonna talk to your brother. He'll tell you the truth about what happened to your husband. I told Bubba to tell you what happened. Now, my statement to the world:  I am in the midst of truth. I am good, I am straight, don't trip. To all my partners, tell them I said like Arnold Schwarzenegger, ""I'll be back."" These eyes will close, but they will be opened again, my understanding of God is, Jesus has got me through. To my family, I love ya'll. ",1,13.64,0.0,5.68,2.27,4.55,0.0,0.0,0.0,0.0,21.59,3.41,1.14,7.95,5.68,14.77,4.55,2.27,0.0
496,"Life is death, death is life. I hope that someday this absurdity that humanity has come to will come to and an end. Life is too short. I hope that anyone that has negative energy towards me will resolve that. Life is too short to harbor feelings of hatred and anger. That's it.",1,5.66,0.0,0.0,0.0,7.55,3.77,0.0,3.77,0.0,3.77,0.0,0.0,11.32,0.0,20.75,9.43,0.0,3.77
495,"To my loved ones and dear friends, I love ya'll and appreciate ya'll for being there. I am going to a better place. To all the guys back on the row, keep your heads up, keep up the fight. I am ready. Let's go.",1,9.09,2.27,6.82,0.0,13.64,2.27,0.0,2.27,0.0,22.73,0.0,6.82,4.55,0.0,13.64,2.27,0.0,0.0
494,"Ms. Connie Hilton, I'm sorry for what happened to you. If I hadn't raped you, then you wouldn't have lived. If you look at the transcripts, I didn't kill Mr. Newman and I didn't rob your house. There are two people still alive. I was just there. When I saw you in the truck driving away, I could have killed you but I didn't. I'm not a killer. My momma was abused. I'm sorry for what you've gone through. It wasn't me that harmed and stole all of your stuff. If you look at the transcripts you will see. I ask the good Lord to forgive me.",1,13.08,0.0,10.28,0.0,1.87,7.48,0.0,4.67,1.87,14.02,0.93,0.0,12.15,13.08,9.35,1.87,0.93,3.74
493,"Hey mom and pop. I love ya'll, all of you people in there. You know, ya'll have to come together, you too Terrella. Ya'll work on that. We all have to stand before God at the end of the day. Don't ever think you're perfect, none of us are perfect. God is the only one that is perfect. Jesus is perfect. I did wrong, now I am paying the ultimate price, even though it's a crooked way. I don't hate ya'll. Don't judge, I'm not judging. God has to judge those people. I forgive. Always remember, Romans 12:19 is for real, hell is for real. If ya'll don't have your life right, get it right. We all have to die to get to heaven. Get your life right with Christ; it's coming to an end. I'm talking to each and every soul in this building, in this room. I don't hate nobody, you're doing what you think is your job. God's law is above this law.",1,4.79,1.8,8.38,0.0,4.19,2.4,0.0,1.8,0.0,14.97,0.6,0.0,10.78,1.2,24.55,0.6,5.39,0.6
492,"Yes, Warden. Mom, Celeste: Please know I'm innocent and I love you both. Please continue to fight for my innocence even though I'm gone. John, Cort, Allen, Barbara, Louis, and Anna: Thank you for helping me and trying to save my life. I love you. Give everybody my love. Jason, thank you for your friendship. Thank Laura, too. I love all of you. Bye. Ok, Warden.",1,13.64,0.0,9.09,0.0,21.21,1.52,0.0,1.52,0.0,24.24,1.52,0.0,7.58,1.52,13.64,0.0,0.0,0.0
491,"Can you hear me? Did I ever tell you, you have dad's eyes? I've noticed that in the last couple of days. I'm sorry for putting you through all this. Tell everyone I love them. It was good seeing the kids. I love them all; tell mom, everybody. I am very sorry for all of the pain. Tell Brenda I love her. To everybody back on the row, I know you're going through a lot over there. Keep fighting, don't give up everybody.",1,10.84,0.0,6.02,2.41,4.82,4.82,0.0,1.2,2.41,30.12,2.41,0.0,13.25,3.61,18.07,1.2,0.0,0.0
489,"To all of ya'll over here: Mr. Bivins, Allen, Joey, all of ya'll back there, I am truly sorry. I never meant to cause ya'll so much pain. Not one day has passed that I wish I could take it back. After today, I hope you can go on. I hope this brings you closure. God knows I didn't want to do what I did. I loved your daughter. I hope to God, He lets me see her in Heaven so I can apologize to her. I'm sorry. I'm glad ya'll came. Joey, I am really sorry, Joe.",1,15.31,1.02,7.14,0.0,7.14,4.08,0.0,0.0,3.06,14.29,1.02,0.0,17.35,5.1,19.39,4.08,3.06,0.0
488,"To the victim's family, I am sure I know that I took somebody special from ya'll. I know it wasn't right, it was wrong. I wish I could give it back, but I know I can't. If giving my life in return makes it right, so be it. I ask that ya'll forgive me. I know God forgave me. I know He has forgiven me for what I did. I don't believe that taking my life will solve anything. I believe that if I was locked up for the rest of my life, that would be more of a punishment. To do this is setting me free. God bless ya'll. I wish there was something I could do.",1,20.34,0.0,2.54,0.0,6.78,2.54,0.0,0.85,0.0,10.17,0.85,0.0,22.03,5.08,16.95,2.54,2.54,0.0
487,I'm an innocent man. I did not kill anyone. Ya'll are killing an innocent man. My left arm is killing me. It hurts bad.,1,16.67,0.0,4.17,0.0,8.33,20.83,0.0,12.5,4.17,16.67,0.0,0.0,8.33,8.33,12.5,0.0,0.0,12.5
486,"Yes, you know I sat in my cell many days wondering what my last words would be: love for my family, grandson, friends. I love you very much. Tonight when I close my eyes, I'll be with my Father. Some time ago I got a letter, I read it, and stuck it in with a bunch of stuff; and I thought to myself, what a cold-hearted person. I was asked about the letter, I spent half the night looking for the letter. A little part of the letter touched me. Over the years I have learned to love. God is everything. God is my life. Tonight, I will be with Him. I am a parent myself.  I have so much for this dear lady. I understand where they're coming from, I thought every person was cruel. I love you so, Susan. You know what it is girl, love ya. Maurie, appreciate it girl. Much love to you all. Mrs. Cox, love you. Momma, you are my hero. I wish this world was just like you. Another mother got hurt, as a parent I understand the pain. That letter she wrote wasn't wrong, she was just hurting. She showed God's love for letting me know that love will be there to welcome me home. I love you all. I don't know what you are going to feel after tonight. I love you. I pray one day we will all meet in heaven. A man told me 11 years ago the hardest thing to say is, ""I forgive you."" Hope one day we all be together again. I love you all: Susan, Mrs. Cox, momma, Maurie, Michael. Grandbabies make the world go around. I love you all. Warden, I am looking to leave this place on wings of a homesick angel. Ready to go home to meet my maker. What a friend we have in Jesus, oh my God, I lay in awe 'cause I love you God. I love you momma. I love you Susan. ",1,13.43,0.9,5.37,0.0,7.16,1.79,0.0,0.3,0.9,22.09,2.69,0.9,8.66,5.07,10.15,3.58,2.69,0.0
485,"I want to tell ya'll, know that I love you. Billy, I love you, English, Hart and Eloise. Dwight, take care of Dwight. I'm going home, I'm going home. I'll be alright, don't worry.  I love ya'll. God bless and the Texas Rangers, Texas Rangers. ",1,15.56,0.0,8.89,0.0,13.33,2.22,2.22,0.0,0.0,17.78,0.0,0.0,4.44,0.0,22.22,6.67,4.44,0.0
484,"Bohannon, Peg and Kim, I love ya'll. Son, get your life right with Christ, also your mother. Give mom a hug for me and tell her that I love her. Ya'll do understand that I came here a sinner and leaving a saint. Take me home Jesus, take me home Lord, take me home Lord. I ain't left yet, must be a miracle. I am a miracle. I see you, Rich. Don't cry son, don't cry baby. I love ya'll. I'm ready. ",1,14.63,0.0,7.32,0.0,7.32,2.44,0.0,0.0,2.44,23.17,6.1,0.0,3.66,2.44,18.29,0.0,7.32,0.0
483,"Yes, I would like to tell my family that I love ya'll and I wish ya'll well. I'm ready. ",1,26.32,0.0,10.53,0.0,21.05,0.0,0.0,0.0,0.0,26.32,5.26,0.0,10.53,0.0,10.53,5.26,0.0,0.0
482,"First, I want to let my mom know not to cry, there is no reason to cry, everybody dies. Everybody has their time, don't worry about me. I'm strong. To my family: my old man, my kids, daddy is sorry. I love each and every one of you. I'll be looking for you. To my wife, I love you. The last two years have been the best. All my kids, mom, nieces, and nephews, I am proud of all of ya'll. I love each and every one of ya'll. I really love ya'll.",1,16.13,0.0,6.45,1.08,7.53,4.3,1.08,0.0,3.23,24.73,7.53,0.0,11.83,1.08,12.9,1.08,0.0,1.08
481,"Tell my son I love him very much. God bless everybody. Continue to walk with God. Go Cowboys! Love ya'll man. Don't forget the T-ball. Ms. Mary, thank you for everything that you've done. You too, Brad, thank you. I can feel it, taste it, not bad.",1,6.25,0.0,10.42,0.0,10.42,2.08,0.0,0.0,0.0,29.17,2.08,0.0,8.33,4.17,20.83,0.0,6.25,0.0
480,"All I want to say is I'm innocent, I didn't kill my wife. Jack Leary shot my wife then her dope dealer Guy Fernandez. Don't hold it against me, Bill. I swear to God I didn't kill her. Go ahead and finish it off. You can taste it. ",1,16.67,0.0,2.08,0.0,2.08,4.17,0.0,4.17,0.0,14.58,4.17,2.08,10.42,4.17,14.58,4.17,2.08,4.17
479,"Yes, I do. First of all for the Aubrey Hawkins family, I do apologize for everything that happened. Not because I am here, but for closure in your hearts. I really believe that you deserve that. To my wife, Cheri, I am so grateful you're in my life. I love you so dearly. Thank you to my sister and dear friend Katherine Cox, my son and family, friends and family. I love you so dearly. To my friends, all the guys on the row, you have my courtesy and respect. Thank you to the people involved and to the courtesy of the officers. I am grateful for everything in my life. To my wife, take care of yourself. I will be waiting for you. I love you. God Bless. I am ready to go. ",1,14.18,0.0,8.21,0.0,10.45,0.0,0.0,0.0,0.0,23.13,5.22,3.73,7.46,0.75,11.19,0.75,1.49,0.0
478,"Yes, I want to tell everybody that I love everybody. Keep your heads up. We are all family, people of God Almighty. We're all good. I'm ready. ",1,11.11,7.41,3.7,0.0,11.11,0.0,0.0,0.0,0.0,33.33,3.7,0.0,18.52,0.0,22.22,0.0,3.7,0.0
